Agreement,Agreementname,ACCT,Territory,Region,TransactionDate,EE,ND,SD,GR,WW,Other,TOTAL,DOCS,AccountName,QuotaEE,QuotaND,QuotaSD,QuotaGR,QuotaWW,QuotaOther,LastYearEE,LastYearND,LastYearSD,LastYearGR,LastYearWW,LastYearOther,Year,Period
227,Shilling Optical Case Co.                         ,99065,ONTA ,central,6/18/2020,5.45,1251.36,0,1087.28,0,0.55,2344.64,12,SHILLING OPT. CASE,24.87,2509.33,0,1887.84,0,65.25,24.15,2436.24,0,1832.85,0,63.35,2020,6
    ,,130624,QUE1 ,Quebec,6/18/2020,0,32.4,0,0,0,0,32.4,4,GROUPE CENSEO,153.68,204.55,0,0,0,2.84,149.2,198.59,0,0,0,2.76,2020,6
    ,,233047,WEST ,west,6/18/2020,0,100.65,0,0,0,5.65,106.3,5,1560279 ALBERTA LTD.,0,125.07,0,0,0,0,0,121.43,0,0,0,0,2020,6
    ,,37516,QUE2 ,Quebec,6/18/2020,158.37,82.92,0,0,0,11,252.29,11,UNIVESTA,921.86,54.52,0,0,0,0,895.01,52.93,0,0,0,0,2020,6
    ,,230229,ATL1 ,Atlantic,6/18/2020,0,162.74,0,0,0,7.68,170.42,9,IDC WORLDSOURCE INSURANCE,27.45,569.12,0,0,0,1.65,26.65,552.54,0,0,0,1.6,2020,6
    ,,97135,ONTC ,central,6/18/2020,0,35.82,0,0,0,0,35.82,3,DR. SHARPE,0,83.44,0,0,0,0,0,81.01,0,0,0,0,2020,6
914,Crawford & Company (Canada) Inc                   ,6552,ONTC ,west,6/18/2020,4.14,75.19,0,0,0,5.44,84.77,7,CRAWFORD & COMPANY (CANADA) INC.,29.22,168.73,0,0,0,7.45,28.37,163.82,0,0,0,7.23,2020,6
    ,,238951,BC1  ,west,6/18/2020,0,343.58,0,0,0,17.91,361.49,6,DISCOUNT CAR & TRUCK RENTALS,0,342.4,0,0,0,0,0,332.43,0,0,0,0,2020,6
    ,,7105,ATL1 ,Atlantic,6/18/2020,40.57,0,0,0,0,8.03,48.6,20,ASSURANCE MOURANT LTEE,125.69,0,0,0,0,8.31,122.03,0,0,0,0,8.07,2020,6
    ,,238161,ONTA ,central,6/18/2020,0,74.5,0,0,0,0,74.5,4,EYES FIRST EYE CARE,0,70.08,0,0,0,0,0,68.04,0,0,0,0,2020,6
750,ListenUp! Canada                                  ,242031,CORP1,west,6/18/2020,0,49.08,0,0,0,2.76,51.84,4,HEARINGLIFE CANADA LTD.,0,49.38,0,0,0,0,0,47.94,0,0,0,0,2020,6
947,Arthur J. Gallaher (Canada) Group                 ,10914,ONTC ,west,6/18/2020,9.83,18.06,0,0,0,0,27.89,5,GALLAGHER - WINNIPEG-CAVALIER,17.54,11.89,0,0,0,21.7,17.03,11.54,0,0,0,21.07,2020,6
552,Opto-Reseau                                       ,98658,QUE1 ,Quebec,6/18/2020,0,75.97,0,0,0,0,75.97,2,CENTRE VISUEL BOISBRIAND,0,84.08,0,0,0,0,0,81.63,0,0,0,0,2020,6
    ,,220211,ONTC ,central,6/18/2020,0,11.58,0,106.05,0,0,117.63,2,20/20 VISION CLINIC,0,23.24,0,0,0,0,0,22.56,0,0,0,0,2020,6
14,Lunetterie New Look                               ,174899,QUE1 ,Quebec,6/18/2020,0,82.05,0,0,0,0,82.05,14,GROUPE VISION NEW LOOK INC.,0,123.07,0,0,0,0,0,119.49,0,0,0,0,2020,6
    ,,11160,ONTC ,central,6/18/2020,0,187.86,0,0,0,0,187.86,13,ALLSTATE INSURANCE CO.,0,1239.45,0,0,0,0,0,1203.35,0,0,0,0,2020,6
    ,,115955,QUE2 ,Quebec,6/18/2020,0,82.51,0,0,0,0,82.51,2,CLINIQUE D'OPTOMETRIE,0,23.96,0,0,0,0,0,23.26,0,0,0,0,2020,6
    ,,249053,ONTA ,Quebec,6/18/2020,0,56.15,0,0,0,0,56.15,5,OTTAWA VALLEY VISION,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
    ,,203819,ONTC ,central,6/18/2020,0,16.7,0,0,0,0,16.7,2,STATE FARM INSURANCE,2.28,0,0,0,0,1.65,2.21,0,0,0,0,1.6,2020,6
    ,,237140,WEST ,west,6/18/2020,0,34.74,0,0,0,0,34.74,3,CAPITAL INDUSTRIAL SALES,0,45.77,0,0,0,0,0,44.44,0,0,0,0,2020,6
    ,,4707,ONTA ,Quebec,6/18/2020,251.34,0,0,0,0,0,251.34,12,L & A MUTUAL INSURANCE COMPANY,365.21,0,0,0,0,0,354.57,0,0,0,0,0,2020,6
612,FYIdoctors                                        ,179757,BC1  ,west,6/18/2020,0,123.25,0,0,0,0,123.25,12,FYI EYE CARE SERVICES AND PRODUCTS,0,280.97,0,0,0,0,0,272.79,0,0,0,0,2020,6
    ,,30115,BC1  ,west,6/18/2020,14.98,8.1,0,0,0,0,23.08,3,JACK W CHOW INS SERVICE,24.56,8,0,0,0,0.57,23.84,7.77,0,0,0,0.55,2020,6
    ,,181112,BC1  ,west,6/18/2020,21.73,17.16,0,0,0,2.05,40.94,14,HUB INTERNATIONAL,28.07,66.54,0,0,0,17.22,27.25,64.6,0,0,0,16.72,2020,6
    ,,117025,ATL1 ,Atlantic,6/18/2020,0,235.88,0,0,0,0,235.88,13,MEDAVIE BLUE CROSS,0,913.56,0,0,0,0,0,886.95,0,0,0,0,2020,6
56,Essilor                                           ,245333,QUE1 ,Quebec,6/18/2020,0,254.58,0,17.14,0,11,282.72,8,ESSILOR CANADA,0,706.85,0,0,0,18.57,0,686.26,0,0,0,18.03,2020,6
    ,,244643,ONTC ,central,6/18/2020,19.49,0,0,0,0,7.66,27.15,15,PROGRAMMED INSURANCE BROKERS,20.95,0,0,0,0,23.47,20.34,0,0,0,0,22.79,2020,6
82,Le Lunetier Laval                                 ,234211,QUE1 ,Quebec,6/18/2020,0,73,0,0,0,11,84,8,LE LUNETIER BELOEIL INC,0,50.92,0,0,0,0,0,49.44,0,0,0,0,2020,6
    ,,198,ONTA ,central,6/18/2020,89.66,0,0,0,0,2.98,92.64,16,ASSURANCE ROBICHAUD INS. INC.,146.5,0,0,0,0,0.68,142.23,0,0,0,0,0.66,2020,6
    ,,57697,QUE2 ,Quebec,6/18/2020,17.44,0,0,0,0,19.21,36.65,18,"GINGRAS, MOISE & ASSOCIES",33.53,0,0,0,0,32.23,32.55,0,0,0,0,31.29,2020,6
    ,,91253,BC1  ,west,6/18/2020,0,418.88,0,0,0,10.66,429.54,16,NICOLA WEALTH MANAGEMENT,0,1561.53,0,0,0,0,0,1516.05,0,0,0,0,2020,6
    ,,119474,ONTC ,central,6/18/2020,0,48.63,0,0,0,0,48.63,4,PISEK DENTURE CLINIC,0,94.25,0,0,0,0,0,91.5,0,0,0,0,2020,6
    ,,119328,WEST ,west,6/18/2020,84.83,0,0,0,0,5.79,90.62,17,ONE INSURANCE,78.34,0,0,0,0,6.11,76.06,0,0,0,0,5.93,2020,6
424,Gestion Luc Doyle                                 ,178648,QUE2 ,Quebec,6/18/2020,0,102.87,0,0,0,0,102.87,10,OPTIQUE DOYLE ET BROUSSEAU INC.,0,157.96,0,0,0,0,0,153.36,0,0,0,0,2020,6
    ,,75105,ONTA ,central,6/18/2020,125.41,301.17,0,0,0,0,426.58,14,ALLEN WONG & ASSOCIATES,579.3,658.02,0,0,0,0,562.43,638.85,0,0,0,0,2020,6
    ,,218535,ONTC ,central,6/18/2020,0,60.2,0,0,0,0,60.2,7,TRANSURE INSURANCE INC.,0,121.58,0,0,0,0,0,118.04,0,0,0,0,2020,6
602,Siemens Hearing Instruments Inc. (Inbound)        ,95952,CORP1,west,6/18/2020,0,13.76,0,0,0,0,13.76,2,EX-CELL HEARING CTR,0,134.16,0,0,0,0,0,130.25,0,0,0,0,2020,6
    ,,30114,BC1  ,west,6/18/2020,77.5,16.2,0,0,0,0,93.7,9,CHILLIWACK INSURANCE AGENCIES,99.9,24.01,0,0,0,0.57,96.99,23.31,0,0,0,0.55,2020,6
    ,,248108,BC1  ,west,6/18/2020,0,83.58,0,0,0,0,83.58,7,THREE PEAKS DENTAL MILLING CTR. LTD,0,155.5,0,0,0,0,0,150.97,0,0,0,0,2020,6
186,Primerica Life Insurance Company of Canada        ,212336,CORP1,central,6/18/2020,0,20.64,0,0,0,0,20.64,3,PRIMERICA LIFE  (CA696),0,74.83,0,0,0,0,0,72.65,0,0,0,0,2020,6
    ,,37382,QUE2 ,Quebec,6/18/2020,2870.05,24.55,0,0,0,11,2905.6,17,OPTIMUM SOCIETE D'ASSURANCE INC.,4214.8,51.56,0,0,0,0,4092.04,50.06,0,0,0,0,2020,6
612,FYIdoctors                                        ,173636,BC1  ,Quebec,6/18/2020,0,161.92,0,0,0,0,161.92,12,VISIQUE GALERIES DE LA CANARDIERE,0,425.8,0,0,0,0,0,413.4,0,0,0,0,2020,6
    ,,3408,ONTA ,Quebec,6/18/2020,53.68,0,0,0,0,4.88,58.56,11,EARL SHAW INSURANCE BROKERS,84.92,0,0,0,0,12.62,82.45,0,0,0,0,12.25,2020,6
    ,,127124,BC1  ,west,6/18/2020,21.82,8.1,0,0,0,5.43,35.35,11,PROGRESSIVE INS. SERV. LTD.,35.11,8,0,0,0,3.65,34.09,7.77,0,0,0,3.54,2020,6
14,Lunetterie New Look                               ,115921,QUE1 ,Quebec,6/18/2020,0,286.98,0,0,0,0,286.98,7,GROUPE VISION NEW LOOK INC.,0,820.03,0,0,0,0,0,796.15,0,0,0,0,2020,6
188,Bausch & Lomb Canada Inc                          ,131056,CORP2,central,6/18/2020,0,90.04,0,0,0,0,90.04,10,BAUSCH & LOMB CANADA,0,277.34,0,0,0,3.45,0,269.26,0,0,0,3.35,2020,6
    ,,3693,ONTC ,central,6/18/2020,15.8,0,0,0,0,7.95,23.75,9,M D M INSURANCE SERVICES INC,22.28,0,0,0,0,7.6,21.63,0,0,0,0,7.38,2020,6
    ,,164896,ONTA ,central,6/18/2020,0,63.24,0,0,0,0,63.24,5,DELUX DENTAL LAB,0,328.3,0,0,0,0,0,318.74,0,0,0,0,2020,6
269,Central Optical                                   ,246254,WEST ,west,6/18/2020,150.91,1890.58,0,0,0,99.12,2140.61,15,EUROPA EYEWEAR CANADA,147.15,2271.14,0,0,0,14.78,142.86,2204.99,0,0,0,14.35,2020,6
    ,,3088,ONTA ,Quebec,6/18/2020,12.13,0,0,0,0,6.25,18.38,7,RIDEAU INSURANCE SERVICE LTD.,19.47,8.25,0,0,0,6.37,18.9,8.01,0,0,0,6.18,2020,6
31,Western Financial Group                           ,50620,WEST ,west,6/18/2020,24.45,350.16,0,0,0,9.75,384.36,7,WESTERN COAST INSURANCE SERVICES,149.67,848.5,0,0,0,13.39,145.31,823.79,0,0,0,13,2020,6
    ,,22594,QUE1 ,Quebec,6/18/2020,75.26,0,0,0,0,1.53,76.79,16,ASSURANCIA GROUPE TARDIF INC.,410.56,0,0,0,0,0,398.6,0,0,0,0,0,2020,6
961,Miracle Ear Canada Ltd                            ,238287,ONTC ,central,6/18/2020,0,72.3,0,0,0,6.5,78.8,9,AMPLIFON,0,13.74,0,0,0,0,0,13.34,0,0,0,0,2020,6
    ,,246173,QUE1 ,Quebec,6/18/2020,0,247.76,0,0,0,0,247.76,5,AURIS LAB,0,845.66,0,12.59,0,0.88,0,821.03,0,12.22,0,0.85,2020,6
    ,,244300,ONTA ,central,6/18/2020,0,35.82,0,0,0,0,35.82,3,DISCOUNT CAR & TRUCK RENTALS,0,47.17,0,0,0,0,0,45.8,0,0,0,0,2020,6
    ,,215086,WEST ,west,6/18/2020,2.18,0,0,0,0,2.81,4.99,3,ONYX FINANCIAL GROUP,2.16,0,0,0,0,5.69,2.1,0,0,0,0,5.52,2020,6
    ,,2686,ONTC ,central,6/18/2020,15.26,0,0,0,0,13.13,28.39,16,NIAGARA INS BROKERS,30.06,0,0,0,0,25.29,29.18,0,0,0,0,24.55,2020,6
99,Global Insurance Solutions                        ,234472,ONTA ,central,6/18/2020,0,94.49,0,0,0,19.5,113.99,9,GLOBAL INSURANCE SOLUTIONS INC,0,1039.66,0,0,0,0,0,1009.38,0,0,0,0,2020,6
    ,,206275,ONTA ,Quebec,6/18/2020,0,223.32,0,0,0,0,223.32,11,WILKINSON & COMPANY LLP,0,182.88,0,16.93,0,11.33,0,177.55,0,16.44,0,11,2020,6
230,CENTENNIAL OPTICAL LTD.                           ,115867,CORP1,Quebec,6/18/2020,2.18,5497.09,0,0,0,11,5510.27,22,L'OPTIQUE CENTENNIAL,7.57,7902.9,2851.02,0,0,11.33,7.35,7672.72,2767.98,0,0,11,2020,6
    ,,171784,QUE1 ,Quebec,6/18/2020,0,116.64,0,0,0,0,116.64,6,MARIE-SOPHIE DION,0,191.9,0,0,0,0,0,186.31,0,0,0,0,2020,6
205,Hakim Optical                                     ,217714,CORP1,central,6/18/2020,0,27.78,0,0,0,0,27.78,3,HAKIM OPTICAL 080,0,197.63,0,0,0,0,0,191.87,0,0,0,0,2020,6
909,PACE Savings & Credit Union                       ,117480,ONTA ,central,6/18/2020,0,249.07,0,0,0,0,249.07,5,PACE SAVINGS & CREDIT UNION,0,286.65,0,0,0,0,0,278.3,0,0,0,0,2020,6
838,RR Donnelley                                      ,239268,CORP1,central,6/18/2020,0,1465.38,0,97.97,0,0,1563.35,14,RR DONNELLEY,0,3979.76,0,617.89,0,147.29,0,3863.84,0,599.89,0,143,2020,6
    ,,238089,ONTC ,central,6/18/2020,0,101.27,0,0,0,11.63,112.9,9,DURWARD JONES BARKWELL & COMPANY LL,0,203.55,0,0,0,18.03,0,197.62,0,0,0,17.5,2020,6
    ,,4128,ONTC ,central,6/18/2020,273.21,543.77,0,0,0,46.74,863.72,7,FRANK COWAN COMPANY LTD.,749.02,1253.26,0,0,0,11.33,727.2,1216.76,0,0,0,11,2020,6
    ,,154064,BC1  ,west,6/18/2020,0,101.93,0,0,0,2.79,104.72,8,ASSURANT LIFE OF CANADA,0,72.42,0,0,0,0,0,70.31,0,0,0,0,2020,6
    ,,246053,BC1  ,west,6/18/2020,0,13.54,0,0,0,0.76,14.3,1,JM PLATEAU INT'L WEALTH MANAGEMENT,0,26.94,0,0,0,0,0,26.16,0,0,0,0,2020,6
612,FYIdoctors                                        ,173395,BC1  ,Quebec,6/18/2020,0,104.98,0,0,0,0,104.98,12,VISIQUE MONT-JOLI,0,161.68,0,0,0,0,0,156.97,0,0,0,0,2020,6
228,Westland Insurance Group Ltd                      ,182501,BC1  ,west,6/18/2020,34.31,5.67,0,0,0,3.69,43.67,12,WESTLAND INSURANCE - ABBY 3,57.84,8,0,0,0,11.21,56.16,7.77,0,0,0,10.88,2020,6
634,Audace Lunette                                    ,208905,QUE1 ,Quebec,6/18/2020,105.15,945.28,0,0,0,45.69,1096.12,16,AUDACE LUNETTES,140.55,4228.56,0,0,0,54.08,136.46,4105.4,0,0,0,52.5,2020,6
    ,,31602,QUE1 ,Quebec,6/18/2020,1324.21,0,0,0,0,60,1384.21,16,LUSSIER DALE PARIZEAU,1646.56,0,0,0,0,0,1598.6,0,0,0,0,0,2020,6
    ,,1690,ONTC ,central,6/18/2020,37.26,0,0,0,0,4.39,41.65,10,IVES INSURANCE BROKERS LTD.,282.84,0,0,0,0,72.54,274.6,0,0,0,0,70.43,2020,6
    ,,17135,WEST ,west,6/18/2020,40.14,0,0,0,0,0.21,40.35,7,DRAYDEN INSURANCE LTD,57.58,0,0,0,0,0,55.9,0,0,0,0,0,2020,6
856,KD Services Inc                                   ,244275,QUE1 ,Quebec,6/18/2020,0,1142.65,0,154.35,0,59.67,1356.67,15,KD SERVICES INC. (INTEGA),0,2376.57,0,291.8,0,61.41,0,2307.35,0,283.3,0,59.62,2020,6
    ,,48010,ONTA ,central,6/18/2020,16.34,40.64,0,12.74,0,0.8,70.52,4,ECLIPSE FINANCIAL,18.47,162.98,0,0,0,8.53,17.93,158.23,0,0,0,8.28,2020,6
961,Miracle Ear Canada Ltd                            ,98985,ONTC ,west,6/18/2020,0,41.4,0,0,0,17.5,58.9,7,AMPLIFON,0,41.22,0,0,0,0,0,40.02,0,0,0,0,2020,6
24,Service de Location Hearing Care of America       ,173620,QUE1 ,Quebec,6/18/2020,22.16,29.66,0,0,0,0,51.82,6,S.L.H.C.A.,65.63,87.76,0,0,0,0,63.72,85.2,0,0,0,0,2020,6
    ,,113007,ONTA ,central,6/18/2020,0,166.88,0,0,0,6.5,173.38,10,OLYMPIAN FINANCIAL INC.,27.85,178.5,0,0,0,9.54,27.04,173.3,0,0,0,9.26,2020,6
    ,,17127,WEST ,west,6/18/2020,63.37,0,0,0,0,9.38,72.75,19,DRAYDEN INSURANCE LTD,87.89,0,0,0,0,6.32,85.33,0,0,0,0,6.14,2020,6
186,Primerica Life Insurance Company of Canada        ,207449,CORP1,Atlantic,6/18/2020,0,62.1,0,0,0,3.48,65.58,5,PRIMERICA LIFE (CGLBB),0,134.57,0,0,0,0,0,130.65,0,0,0,0,2020,6
    ,,228960,WEST ,west,6/18/2020,16.35,0,0,0,0,12.04,28.39,17,DARSON INSURANCE SERVICES,26.22,0,0,0,0,8.27,25.46,0,0,0,0,8.03,2020,6
    ,,22440,QUE1 ,Quebec,6/18/2020,95.59,8.1,0,0,0,2.57,106.26,13,PARE ASSURANCES,273.41,0,0,0,0,0,265.45,0,0,0,0,0,2020,6
    ,,27347,ONTC ,central,6/18/2020,0,130.88,0,0,0,0,130.88,11,PAUL DAVIS SYSTEMS (HALTON),0,114.08,0,0,0,0,0,110.76,0,0,0,0,2020,6
918,Centric Dental Lab                                ,234911,QUE1 ,Quebec,6/18/2020,0,263.18,0,0,0,0,263.18,20,CENTRIC DENTAL LAB,0,648.61,0,0,0,0,0,629.72,0,0,0,0,2020,6
    ,,200689,ONTA ,Quebec,6/18/2020,0,64.52,0,0,0,0,64.52,6,WILKINSON & CO.,0,11.09,0,0,0,0,0,10.77,0,0,0,0,2020,6
    ,,237506,ONTC ,central,6/18/2020,0,47.04,0,0,0,0,47.04,4,EARLY WORDS,0,88.74,0,0,0,0,0,86.16,0,0,0,0,2020,6
14,Lunetterie New Look                               ,176350,QUE1 ,Atlantic,6/18/2020,0,101.65,0,0,0,11,112.65,13,YARMOUTH OPTICAL,0,182.9,0,0,0,0,0,177.57,0,0,0,0,2020,6
    ,,162017,WEST ,west,6/18/2020,17.47,0,0,0,0,3.3,20.77,6,BANKERS & TRADERS INSURANCE,16.52,0,0,0,0,2.68,16.04,0,0,0,0,2.6,2020,6
210,Glenwood Laboratories Ltd                         ,248892,ONTC ,central,6/18/2020,0,1233.91,0,406.11,0,29.41,1669.43,17,GLENWOOD LABORATORIES CANADA LTD.,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
    ,,27626,QUE1 ,Quebec,6/18/2020,95.62,0,0,0,0,1.65,97.27,14,CHAPDELAINE ASSURANCE INC,147.06,8.25,0,0,0,5.98,142.78,8.01,0,0,0,5.81,2020,6
    ,,30133,BC1  ,west,6/18/2020,28.98,0,0,0,0,18.44,47.42,19,COAST CLAIMS SERVICE LTD,33.51,0,0,0,0,11.42,32.53,0,0,0,0,11.09,2020,6
612,FYIdoctors                                        ,97658,BC1  ,west,6/18/2020,0,85.4,0,0,0,0,85.4,9,FYIDOCTORS- FORT FRANCES- SCOTT ST.,0,41.83,0,0,0,0,0,40.61,0,0,0,0,2020,6
205,Hakim Optical                                     ,247906,CORP1,west,6/18/2020,0,2447.26,0,0,0,6.5,2453.76,11,HAKIM OPTICAL #250,0,6017.35,0,0,0,0,0,5842.09,0,0,0,0,2020,6
    ,,159087,ONTC ,central,6/18/2020,3.05,0,0,0,0,2.81,5.86,3,ROYAL CITY ASSET MANAGEMENT,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
229,Groupe Promutuel F.S.M.A.G                        ,38492,QUE2 ,Quebec,6/18/2020,159.65,1868.56,0,0,0,99.92,2128.13,28,PROMUTUEL DE L'ESTUAIRE,546.87,4689.59,0,0,0,127.21,530.94,4553,0,0,0,123.5,2020,6
14,Lunetterie New Look                               ,221758,QUE1 ,Atlantic,6/18/2020,0,151.3,0,0,0,0,151.3,8,VOGUE OPTICAL #72,0,202.63,0,0,0,0,0,196.73,0,0,0,0,2020,6
    ,,160568,WEST ,west,6/18/2020,5.54,0,0,0,0,0,5.54,1,HBA ADJUSTERS LTD,113.64,0,0,0,0,8.26,110.33,0,0,0,0,8.02,2020,6
14,Lunetterie New Look                               ,174782,QUE1 ,central,6/18/2020,0,73,0,0,0,0,73,5,VOGUE OPTICAL,0,205.26,0,0,0,0,0,199.28,0,0,0,0,2020,6
612,FYIdoctors                                        ,116001,BC1  ,Quebec,6/18/2020,0,172.23,0,0,0,0,172.23,14,VISIQUE RIMOUSKI,0,298.62,0,0,0,0,0,289.92,0,0,0,0,2020,6
    ,,137560,ONTC ,central,6/18/2020,0,0,0,0,0,60,60,1,OLD REPUBLIC CANADA,0,0,0,0,0,0,0,0,0,0,0,0,2020,6
    ,,99584,ONTA ,central,6/18/2020,0,168.17,0,0,0,4.25,172.42,7,CANADIAN ORTHODONTIC LABS,0,540.19,0,0,0,24.46,0,524.46,0,0,0,23.75,2020,6
14,Lunetterie New Look                               ,240197,QUE1 ,Quebec,6/18/2020,0,81.73,0,0,0,0,81.73,12,IRIS 419 #IRIS BOUCHERVILLE #419,0,187.55,0,0,0,0,0,182.09,0,0,0,0,2020,6
234,Intact Financial Corporation                      ,2228,CORP2,central,6/18/2020,8.84,0,0,0,0,5.04,13.88,7,CANADA BROKERLINK (ONTARIO) INC.,21.51,0,0,0,0,29.51,20.88,0,0,0,0,28.65,2020,6
234,Intact Financial Corporation                      ,4525,CORP2,Quebec,6/18/2020,455.17,379.76,0,0,0,11.55,846.48,17,INTACT INSURANCE,1158.05,1050.46,0,0,0,15.35,1124.32,1019.86,0,0,0,14.9,2020,6
    ,,232473,QUE1 ,Quebec,6/18/2020,27.18,58.68,0,0,0,0.51,86.37,18,HUNT COMMERCIAL INSURANCE,38.81,33.45,0,0,0,16.42,37.68,32.48,0,0,0,15.94,2020,6
    ,,95597,ONTA ,central,6/18/2020,0,102.02,0,0,0,0,102.02,6,DR. BLACK OPTOMETRY,0,44.72,0,0,0,0,0,43.42,0,0,0,0,2020,6
    ,,233000,ATL1 ,Atlantic,6/18/2020,21.31,0,0,0,0,0,21.31,3,INNOVATIVE HEARING SOLUTIONS,14.04,0,0,0,0,0,13.63,0,0,0,0,0,2020,6
    ,,9458,ONTA ,Quebec,6/18/2020,1.09,115.12,0,0,0,0.76,116.97,9,GOLDEN FINANCIAL SERVICES,29.47,95.14,0,14.57,0,5.69,28.61,92.37,0,14.15,0,5.52,2020,6
    ,,208718,QUE2 ,Quebec,6/18/2020,0,160.55,0,0,0,0,160.55,9,FINANCIERE DES PROFESSIONNELS,0,197.41,0,0,0,6.7,0,191.66,0,0,0,6.5,2020,6
14,Lunetterie New Look                               ,214521,QUE1 ,Quebec,6/18/2020,0,59.92,0,0,0,0,59.92,9,GROUPE VISION NEW LOOK INC.,0,153.59,0,0,0,0,0,149.12,0,0,0,0,2020,6
31,Western Financial Group                           ,30885,WEST ,west,6/18/2020,18.47,0,0,0,0,2.96,21.43,9,WESTERN COAST INSURANCE SERVICES,57.01,9.46,0,0,0,9.71,55.35,9.18,0,0,0,9.43,2020,6
    ,,130612,ONTA ,Quebec,6/18/2020,11.4,8.85,0,0,0,6.16,26.41,10,LL FINANCIAL PLANNERS INC.,19.7,0,0,0,0,15.61,19.13,0,0,0,0,15.16,2020,6
71,Kleargo Inc.                                      ,244776,QUE1 ,Quebec,6/18/2020,0,196.75,0,0,0,4.01,200.76,12,EIKON OPTIKS,0,612.31,0,0,0,0,0,594.48,0,0,0,0,2020,6
    ,,169089,QUE2 ,Quebec,6/18/2020,24.08,13.73,0,0,0,2.41,40.22,13,SPA ASSURANCES INC,59.82,32.63,0,0,0,6.75,58.08,31.68,0,0,0,6.55,2020,6
    ,,240721,ATL1 ,Atlantic,6/18/2020,0,119.82,0,0,0,5.55,125.37,6,DISCOUNT CAR & TRUCK RENTALS,0,118.59,0,0,0,0,0,115.14,0,0,0,0,2020,6
    ,,4934,ONTC ,central,6/18/2020,3922.54,369.36,0,0,0,0,4291.9,14,HEARTLAND FARM MUTUAL INC.,5530.42,898.72,0,0,0,42.75,5369.34,872.54,0,0,0,41.5,2020,6
    ,,237467,ONTC ,central,6/18/2020,0,23.16,0,0,0,0,23.16,2,DR. RYAN ABDOOL,0,71.71,0,0,0,0,0,69.62,0,0,0,0,2020,6
12,Karl Optical Distribution Inc.                    ,242656,QUE1 ,Quebec,6/18/2020,0,1662.71,0,70.5,0,8.27,1741.48,14,KARL OPTICAL DISTRIBUTION INC,0,3336.87,0,0,0,0,0,3239.68,0,0,0,0,2020,6
424,Gestion Luc Doyle                                 ,178101,QUE2 ,Quebec,6/18/2020,0,120.44,0,0,0,11.66,132.1,9,OPTIQUE DOYLE & CASTONGUAY INC.,0,142.88,0,0,0,0,0,138.72,0,0,0,0,2020,6
552,Opto-Reseau                                       ,180243,QUE1 ,Quebec,6/18/2020,0,2076.61,0,0,0,6.5,2083.11,11,OPTO-RESEAU,0,1428.35,0,0,0,71.07,0,1386.75,0,0,0,69,2020,6
178,Swada Cosmetiques Inc                             ,248707,QUE2 ,Quebec,6/18/2020,0,1496.51,0,61.1,0,66,1623.61,12,SWADA COSMETIQUES INC.,0,3741.58,0,213.89,0,179.84,0,3632.6,0,207.66,0,174.6,2020,6
    ,,234605,QUE2 ,Quebec,6/18/2020,7.84,0,0,0,0,0,7.84,2,ROSELER BOQUIREN,9.69,0,0,0,0,0.22,9.41,0,0,0,0,0.21,2020,6
    ,,7716,ATL1 ,Atlantic,6/18/2020,33.3,0,0,0,0,6.6,39.9,13,STANHOPE SIMPSON INSURANCE LTD.,51.54,16.04,0,0,0,27.11,50.04,15.57,0,0,0,26.32,2020,6
    ,,102109,ONTC ,central,6/18/2020,66.24,0,0,0,0,2.35,68.59,9,IMPACT AUTO AUCTIONS LTD.,171.22,0,0,0,0,0,166.23,0,0,0,0,0,2020,6
14,Lunetterie New Look                               ,96524,QUE1 ,west,6/18/2020,0,118.52,0,0,0,0,118.52,9,IRIS #656,0,157.17,0,0,0,0,0,152.59,0,0,0,0,2020,6
    ,,152055,QUE2 ,Quebec,6/18/2020,0,140.99,0,0,0,0,140.99,11,GROUPE FINANCIER HORIZONS,66.61,440.77,0,0,0,0,64.67,427.93,0,0,0,0,2020,6
914,Crawford & Company (Canada) Inc                   ,1077,ONTC ,central,6/18/2020,55.55,7.79,0,0,0,0,63.34,8,CRAWFORD & COMPANY (CANADA) INC.,242.2,7.53,0,0,0,2.64,235.15,7.31,0,0,0,2.56,2020,6
    ,,1113,ONTA ,Quebec,6/18/2020,18.74,0,0,0,0,2.57,21.31,7,HUDSON HENDERSON CANNINGTON,25.96,0,0,0,0,28.98,25.2,0,0,0,0,28.14,2020,6
612,FYIdoctors                                        ,152329,BC1  ,west,6/18/2020,0,102,0,0,0,5.5,107.5,8,FYI CARE SERVICES & PRODUCTS INC.,0,283.99,0,0,0,0,0,275.72,0,0,0,0,2020,6
14,Lunetterie New Look                               ,241834,QUE1 ,Atlantic,6/18/2020,0,137.21,0,0,0,0,137.21,16,ELMWOOD OPTOMETRY CLINIC,0,267.81,0,0,0,0,0,260.01,0,0,0,0,2020,6
    ,,17599,WEST ,west,6/18/2020,15.88,0,0,0,0,17.64,33.52,19,NORWEST INSURANCE AGENCY,24.71,0,0,0,0,26.31,23.99,0,0,0,0,25.54,2020,6
552,Opto-Reseau                                       ,116309,QUE1 ,Quebec,6/18/2020,0,206.78,0,0,0,0,206.78,5,OPTIQUE SANTE,0,368.84,0,0,0,0,0,358.1,0,0,0,0,2020,6
